ID,URL,Titre,Date_Label,Heure_Debut,Heure_Fin,Lieu,Date,Mode,Prix_Inscription,Lien_Inscription,Description,Nourriture_Presente,Boisson_Presente,Detail_Consommation
1459230,https://www.etsmtl.ca/evenement/bajameister-soiree-mythique?date=2026-02-27,Bajameister - Une soirée mythique,Du 27 févr. 2026 à 20:00 au 28 févr. 2026 à 03:00,20:00,03:00,Resto-Pub 100 Génies,"Du
                                                                                                27 février 2026
                                                                                                    au 28 février 2026",En personne,,,"L’équipe de Baja ÉTS t’invite à l’édition 2026 du Bajameister. Tous les profits de la vente de billets serviront à financer le club. Cette soirée mythique assurera une ambiance de feu, des rencontres épiques et des souvenirs mémorables. Attends-toi à des gratuités, des tirages, des jeux et beaucoup de plaisir!",False,False,
1516068,https://www.etsmtl.ca/evenement/vente-pulls-ets-preci-2026?date=2026-02-28,Vente de pulls ÉTS au profit du PRÉCI 2026,28 févr. 2026,,,,28 février 2026,En ligne,,,"L'équipe du PRÉCI 2026 a le plaisir de vous annoncer une nouvelle vente de pulls avec de nouveaux modèles! Les profits financeront leur projet, c'est donc une belle occasion d'afficher votre fierté ÉTS et d'encourager un club qui améliorera les conditions d'un village dans un pays en voie de développement. La vente se déroule du 16 février au 2 mars 2026 seulement. Commandez ici.Gardez un oeil sur l'Interface pour connaître le moment de ramassage!Les modèles disponibles sont ci-dessous.",False,False,
1164755,https://www.etsmtl.ca/evenement/match-piranhas-hockey-uqac-3?date=2026-02-28,Match à domicile des Piranhas ÉTS hockey contre l'UQAC,28 févr. 2026 à 19:30,19:30,22:00,Auditorium de Verdun - Glace Denis Savard,28 février 2026,En personne,Billet gratuit pour la communauté ÉTS,https://lepointdevente.com/billets/evenementpiranhas,Nos Piranhas reçoivent les Inuk de l'Université du Québec à Chicoutimi pour ce duel de saison régulière. Venez en grand nombre soutenir notre équipe! On vous rappelle que tous les matchs à domicile des Piranhas sont gratuits lorsque vous utilisez votre adresse courriel de l'ÉTS pour prendre vos billets!,False,False,
1516068,https://www.etsmtl.ca/evenement/vente-pulls-ets-preci-2026?date=2026-03-01,Vente de pulls ÉTS au profit du PRÉCI 2026,1 mars 2026,,,,1 mars 2026,En ligne,,,"L'équipe du PRÉCI 2026 a le plaisir de vous annoncer une nouvelle vente de pulls avec de nouveaux modèles! Les profits financeront leur projet, c'est donc une belle occasion d'afficher votre fierté ÉTS et d'encourager un club qui améliorera les conditions d'un village dans un pays en voie de développement. La vente se déroule du 16 février au 2 mars 2026 seulement. Commandez ici.Gardez un oeil sur l'Interface pour connaître le moment de ramassage!Les modèles disponibles sont ci-dessous.",False,False,
1516068,https://www.etsmtl.ca/evenement/vente-pulls-ets-preci-2026?date=2026-03-02,Vente de pulls ÉTS au profit du PRÉCI 2026,2 mars 2026,,,,2 mars 2026,En ligne,,,"L'équipe du PRÉCI 2026 a le plaisir de vous annoncer une nouvelle vente de pulls avec de nouveaux modèles! Les profits financeront leur projet, c'est donc une belle occasion d'afficher votre fierté ÉTS et d'encourager un club qui améliorera les conditions d'un village dans un pays en voie de développement. La vente se déroule du 16 février au 2 mars 2026 seulement. Commandez ici.Gardez un oeil sur l'Interface pour connaître le moment de ramassage!Les modèles disponibles sont ci-dessous.",False,False,
1144219,https://www.etsmtl.ca/evenement/atelier-ligne-introduction-h26?date=2026-03-03,Rédiger l’introduction d’un mémoire ou d’une thèse : la recette du succès,3 mars 2026 à 13:30,13:30,15:30,Zoom,3 mars 2026,En ligne,Juste ici!,https://etsmtl.zoom.us/meeting/register/mzOt5uEnTImO5Y1z_xFpMA,"Si seulement tous les chapitres d’un mémoire ou d’une thèse venaient avec une recette exacte. Bonne nouvelle : l’introduction en a une! Cet atelier vous fournit les ingrédients essentiels grâce à un gabarit détaillant la structure et le contenu indispensables pour rédiger l’introduction d’un mémoire, d’une thèse et d’un rapport de projet. À la fin de l'atelier, vous analyserez une introduction existante pour consolider les concepts abordés lors de la partie théorique.  Geneviève Colardgenevieve.colard@etsmtl.caConseillère en soutien à l’apprentissage aux cycles supérieursServices à la vie étudiante | E-3040Cet atelier est réservé à la communauté étudiante de l'ÉTS.",False,False,
1166284,https://www.etsmtl.ca/evenement/theatre-rythmique-choeur?date=2026-03-03,Atelier de théâtre | Rythmique et chœur,3 mars 2026 à 18:00,18:00,20:00,B-4540,3 mars 2026,En personne,Billet à 5 $ pour couvrir les frais encourus par l'offre de l'activité,https://lepointdevente.com/tickets/raconteurs,"Atelier présenté par Marilyn PerreaultCet atelier vous permettra de créer des scènes de groupe chorégraphiées et/ou parlées à partir de situations comiques ou dramatiques qui seront proposées par les participantes et participants selon certaines directives données par la formatrice. Par le jeu physique, le groupe trouvera comment raconter l'histoire de cette scène de groupe, c'est-à-dire avec une situation initiale, un élément perturbateur, un ou deux rebondissements et une finale qui résout ou non le problème. À travers des actions physiques, la formatrice amènera aussi le groupe à créer certaines rythmiques plutôt musicales soit avec des accessoires, des éléments de décor ou encore avec certaines parties de leur corps afin de renforcer la musicalité de la chorégraphie. BilletterieLe prix de 5 $ pour participer servira à couvrir les frais encourus par l’offre de l’activité.Les Raconteurs d'Angles vous offrent une série de 7 ateliers de théâtre à la carte, axés sur la création, afin de vous outiller à la création de production théâtrale.Que ce soit simplement par curiosité, par plaisir ou par passion, participer à ces ateliers vous permettra de développer votre créativité, votre aisance à l'oral et de faire de belles rencontres.Aucune expérience requise et bienvenue au personnel de l'ÉTS!",False,False,
1259108,https://www.etsmtl.ca/evenement/cafe-linguistique-h26?date=2026-03-04,Café linguistique,4 mars 2026 à 12:30,12:30,13:30,Café Sans filtre - Rez-de-chaussée du pavillon F,4 mars 2026,En personne,,,"Rejoignez-nous au Café linguistique pour une pratique dynamique du français, de l'anglais, ou de la langue de votre choix, avec des pairs venant des quatre coins du globe! Ce sera également une occasion pour les personnes cherchant à améliorer leur maîtrise de la langue française dans une ambiance conviviale. Un café sera servi gratuitement et vous pourrez aussi apporter votre lunch si désiré.Le Café linguistique se tient tous les mercredis, de 12 h 30 à 13 h 30, du 14 janvier au 22 avril 2026, au Café Sans filtre du pavillon F.Geneviève ColardCoordonnatrice du Café linguistiqueServices à la vie étudiantegenevieve.colard@etsmtl.ca*Seule la communauté de l'ÉTS peut participer à cette activité.",False,True,"Rejoignez-nous au Café linguistique pour une pratique dynamique du français, de l'anglais, ou de la langue de votre choix, avec des pairs venant des quatre coins du globe! | Un café sera servi gratuitement et vous pourrez aussi apporter votre lunch si désiré. | Le Café linguistique se tient tous les mercredis, de 12 h 30 à 13 h 30, du 14 janvier au 22 avril 2026, au Café Sans filtre du pavillon F. | Geneviève ColardCoordonnatrice du Café linguistiqueServices à la vie étudiantegenevieve.colard@etsmtl.ca"
1563799,https://www.etsmtl.ca/evenement/smash-lan-edition-mars-2026?date=2026-03-05,Smash the Lan : édition mars 2026,5 mars 2026 à 18:00,18:00,22:00,Resto-Pub 100 Génies,5 mars 2026,En personne,Gratuite,https://www.start.gg/tournament/smash-the-lan-dition-mars-2026,Le Lan ETS organise un tournoi de Super Smash Bros Ultimate le 5 mars à 18 h au Resto-Pub 100 Génies!Les inscriptions sont gratuites et ouvertes à toutes et tous!,False,False,
1405914,https://www.etsmtl.ca/evenement/cours-groupe-gratuit-cs?date=2026-03-06,Cours de groupe gratuit au Centre sportif ÉTS,6 mars 2026 à 07:00,07:00,07:45,Centre sportif - 3e étage - Pavillon B,6 mars 2026,En personne,,,"Bonne nouvelle pour toute la communauté étudiante de l’ÉTS!Du 9 janvier au 24 avril 2026, le Centre sportif ÉTS t'offre un cours de groupe GRATUIT tous les vendredis matins de 7 h à 7 h 45.Entraînement fonctionnel / Cross training;Accessible à tous les niveaux;Gratuit pour TOUTE la session;Au Centre sportif de l’ÉTS.Que tu sois du matin ou que tu viennes te réveiller en bougeant, viens t’entraîner avec nous et bien commencer ta journée!Cette activité est gratuite pour toute la communauté étudiante de l'ÉTS.",False,False,
